order_id,order_date,customer_id,customer_email,region,channel,sku,product_name,unit_price,quantity,discount,revenue
O100070,10/09/2024,C0134,c0134@example.com,SOUTH,online,SKU-002,Widget B,29.5,3,0.0,88.5
O100071,03-Jan-2025,C0222,c0222@example.com,South,Partner,SKU-005,Thingamajig,12.49,3,0.0,37.47
O100072,06-Jun-2024,C0017,c0017@example.com,,retail,SKU-005,Thingamajig,12.49,5,0.2,49.96
O100073,2024-09-09,C0117,c0117@example.com,South,retail,SKU-004,Gadget Y,79.99,2,0.0,159.98
O100074,04/07/2024,C0222,c0222@example.com,SOUTH,Partner,SKU-002,Widget B,29.5,5,0.0,147.5
O100075,18-Dec-2024,C0337,c0337@example.com,SOUTH,,SKU-004,Gadget Y,79.99,2,0.05,151.98
O100076,29-Dec-2024,C0154,c0154@example.com,West,retail,SKU-003,Gadget X,49.0,3,0.0,147.0
O100077,09/08/2024,C0071,c0071@example.com,North,Retail,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100078,06/28/2024,C0227,c0227@example.com,North,Partner,SKU-002,Widget B,29.5,4,0.1,106.2
O100079,17-Dec-2024,C0304,c0304@example.com,north ,retail,SKU-001,Widget A,19.99,1,0.0,19.99
O100080,12-Dec-2024,C0323,c0323@example.com,north ,Retail,SKU-002,Widget B,29.5,1,0.0,29.5
O100081,24-Nov-2024,C0300,c0300@example.com,North,,SKU-001,Widget A,19.99,3,0.0,59.97
O100082,07/14/2024,C0130,c0130@example.com,South,Online,SKU-001,Widget A,19.99,1,0.2,15.99
O100083,04/16/2024,C0329,,,Partner,SKU-001,Widget A,19.99,1,0.2,15.99
O100084,27-Sep-2024,C0004,c0004@example.com,north ,Retail,SKU-001,Widget A,19.99,1,0.2,15.99
O100085,04/03/2024,C0002,c0002@example.com,SOUTH,online,SKU-003,Gadget X,49.0,4,0.2,156.8
O100086,2024-12-24,C0166,c0166@example.com,north ,Retail,SKU-002,Widget B,29.5,1,0.1,26.55
O100087,02/15/2024,C0354,c0354@example.com,north ,online,SKU-005,Thingamajig,12.49,8,0.2,79.94
O100088,2024-11-18,C0310,c0310@example.com,,online,SKU-002,Widget B,29.5,4,0.0,118.0
O100089,01/25/2024,C0366,c0366@example.com,South,Online,SKU-004,Gadget Y,79.99,4,0.0,319.96
O100090,03/21/2024,C0385,c0385@example.com,SOUTH,online,SKU-001,Widget A,19.99,2,0.0,
O100091,01/27/2025,C0358,c0358@example.com,West,online,SKU-003,Gadget X,49.0,2,0.05,93.1
O100092,10/23/2024,C0010,c0010@example.com,,,SKU-004,Gadget Y,79.99,1,0.2,63.99
O100093,2024-01-25,C0316,c0316@example.com,SOUTH,,SKU-001,Widget A,19.99,4,0.0,79.96
O100094,26-Sep-2024,C0107,c0107@example.com,North,online,SKU-001,Widget A,19.99,4,0.05,75.96
O100095,07-Nov-2024,C0173,,,Online,SKU-003,Gadget X,49.0,4,0.1,176.4
O100096,04/08/2024,C0106,c0106@example.com,South,Retail,SKU-002,Widget B,29.5,1,0.0,29.5
O100097,12/25/2024,C0083,c0083@example.com,West,Retail,SKU-005,Thingamajig,12.49,2,0.05,23.73
O100098,2024-02-14,C0045,c0045@example.com,South,Partner,SKU-004,Gadget Y,7998.999999999999,2,0.0,15998.0
O100099,2024-07-30,C0129,c0129@example.com,South,Online,SKU-004,Gadget Y,79.99,1,0.05,75.99
O100100,2024-05-12,C0198,c0198@example.com,,retail,SKU-004,Gadget Y,79.99,1,0.1,71.99
O100101,05-Feb-2024,C0076,,North,,SKU-001,Widget A,19.99,3,0.0,59.97
O100102,15-Aug-2024,C0198,c0198@example.com,,Online,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100103,2024-04-26,C0367,c0367@example.com,,Retail,SKU-001,Widget A,19.99,6,0.0,119.94
O100104,21-Nov-2024,C0046,c0046@example.com,West,online,SKU-002,Widget B,29.5,7,0.1,185.85
O100105,10/21/2024,C0008,c0008@example.com,South,online,SKU-004,Gadget Y,79.99,4,0.05,
O100106,05/06/2024,C0095,c0095@example.com,South,online,SKU-001,Widget A,19.99,1,0.1,17.99
O100107,15-Apr-2024,C0007,c0007@example.com,West,Partner,SKU-001,Widget A,19.99,1,0.0,19.99
O100108,12/18/2024,C0073,c0073@example.com,East,online,SKU-004,Gadget Y,79.99,4,0.0,319.96
O100109,2024-03-16,C0238,c0238@example.com,SOUTH,,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100110,09-Aug-2024,C0213,c0213@example.com,South,Retail,SKU-004,Gadget Y,79.99,5,0.0,399.95
O100111,2025-01-12,C0318,c0318@example.com,South,Online,SKU-003,Gadget X,49.0,2,0.1,88.2
O100112,2024-06-07,C0144,c0144@example.com,SOUTH,retail,SKU-005,Thingamajig,12.49,1,0.05,11.87
O100113,17-May-2024,C0293,c0293@example.com,SOUTH,Partner,SKU-001,Widget A,19.99,5,0.2,79.96
O100114,10/19/2024,C0178,c0178@example.com,North,retail,SKU-001,Widget A,19.99,3,0.05,56.97
O100115,06/21/2024,C0010,c0010@example.com,north ,retail,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100116,06/06/2024,C0228,c0228@example.com,North,retail,SKU-002,Widget B,29.5,3,0.05,84.08
O100117,05/15/2024,C0158,c0158@example.com,,Retail,SKU-001,Widget A,19.99,4,0.05,75.96
O100118,2025-01-16,C0189,c0189@example.com,north ,Online,SKU-001,Widget A,19.99,3,0.0,59.97
O100119,01/23/2024,C0104,,West,Online,SKU-002,Widget B,29.5,1,0.1,26.55
O100120,2024-07-17,C0055,c0055@example.com,South,retail,SKU-005,Thingamajig,12.49,1,0.1,11.24
O100121,05/21/2024,C0029,c0029@example.com,North,retail,SKU-005,Thingamajig,12.49,2,0.0,24.98
O100122,12/04/2024,C0208,c0208@example.com,West,,SKU-001,Widget A,19.99,5,0.1,89.96
O100123,22-Oct-2024,C0149,c0149@example.com,north ,retail,SKU-005,Thingamajig,12.49,2,0.0,24.98
O100124,11-Jan-2025,C0290,c0290@example.com,East,Retail,SKU-003,Gadget X,49.0,3,0.05,139.65
O100125,15-Mar-2024,C0284,c0284@example.com,South,Partner,SKU-003,Gadget X,49.0,1,0.0,49.0
O100126,07-Apr-2024,C0030,c0030@example.com,South,,SKU-004,Gadget Y,79.99,5,0.0,399.95
O100127,11/26/2024,C0053,c0053@example.com,West,Partner,SKU-003,Gadget X,49.0,2,0.2,78.4
O100128,2024-03-06,C0066,,North,online,SKU-001,Widget A,19.99,3,0.0,59.97
O100129,29-Jan-2024,C0160,c0160@example.com,north ,Online,SKU-005,Thingamajig,12.49,4,0.0,49.96
O100130,2024-10-23,C0331,c0331@example.com,north ,Retail,SKU-001,Widget A,19.99,3,0.1,53.97
O100131,01/22/2024,C0317,c0317@example.com,East,Retail,SKU-005,Thingamajig,12.49,1,0.2,9.99
O100132,2024-01-01,C0351,c0351@example.com,North,Retail,SKU-003,Gadget X,49.0,3,0.1,132.3
O100133,03/02/2024,C0128,c0128@example.com,East,Retail,SKU-003,Gadget X,49.0,3,0.0,147.0
O100134,07/08/2024,C0222,c0222@example.com,,retail,SKU-004,Gadget Y,79.99,5,0.0,399.95
O100135,2024-10-25,C0396,c0396@example.com,north ,,SKU-003,Gadget X,49.0,3,0.0,147.0
O100136,05/26/2024,C0357,c0357@example.com,North,,SKU-005,Thingamajig,12.49,2,0.1,22.48
O100137,10-Jun-2024,C0163,c0163@example.com,East,,SKU-005,Thingamajig,12.49,3,0.05,35.6
O100138,2024-09-19,C0355,c0355@example.com,South,Partner,SKU-001,Widget A,19.99,3,0.0,59.97
O100139,09-Mar-2024,C0110,c0110@example.com,North,,SKU-001,Widget A,19.99,1,0.0,19.99
O100140,22-Mar-2024,C0307,c0307@example.com,South,Partner,SKU-005,Thingamajig,12.49,4,0.1,44.96
O100141,07/26/2024,C0274,,north ,Retail,SKU-003,Gadget X,49.0,3,0.2,117.6
O100142,26-Jun-2024,C0131,c0131@example.com,South,,SKU-003,Gadget X,49.0,1,0.0,49.0
O100143,10-Jun-2024,C0369,c0369@example.com,north ,online,SKU-003,Gadget X,49.0,4,0.0,196.0
O100144,11/01/2024,C0280,c0280@example.com,,Online,SKU-003,Gadget X,49.0,3,0.0,147.0
O100145,04/24/2024,C0326,c0326@example.com,SOUTH,online,SKU-001,Widget A,19.99,3,0.0,59.97
O100146,2024-11-15,C0280,c0280@example.com,North,Online,SKU-003,Gadget X,49.0,-1,0.0,-49.0
O100147,01/11/2024,C0248,c0248@example.com,,Retail,SKU-003,Gadget X,49.0,2,0.1,88.2
O100148,12-Nov-2024,C0090,c0090@example.com,South,,SKU-003,Gadget X,49.0,5,0.05,232.75
O100149,2024-04-07,C0274,c0274@example.com,north ,,SKU-004,Gadget Y,79.99,1,0.05,75.99
O100150,08-Feb-2024,C0128,c0128@example.com,north ,Online,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100151,09-May-2024,C0333,c0333@example.com,North,,SKU-001,Widget A,19.99,4,0.0,79.96
O100152,16-Nov-2024,C0107,c0107@example.com,north ,Online,SKU-002,Widget B,29.5,5,0.1,132.75
O100153,2024-07-23,C0001,c0001@example.com,north ,retail,SKU-003,Gadget X,49.0,5,0.0,245.0
O100154,2024-11-25,C0026,c0026@example.com,West,Retail,SKU-002,Widget B,29.5,2,0.1,53.1
O100155,08/06/2024,C0103,c0103@example.com,East,Partner,SKU-001,Widget A,19.99,2,0.2,31.98
O100156,2024-05-27,C0259,c0259@example.com,East,Retail,SKU-001,Widget A,19.99,2,0.0,39.98
O100157,25-Jan-2024,C0396,c0396@example.com,SOUTH,Online,SKU-002,Widget B,29.5,3,0.1,79.65
O100158,16-Dec-2024,C0182,c0182@example.com,,retail,SKU-003,Gadget X,49.0,1,0.0,49.0
O100159,10/25/2024,C0331,c0331@example.com,north ,,SKU-004,Gadget Y,79.99,2,0.0,159.98
O100160,07/13/2024,C0104,c0104@example.com,South,Retail,SKU-002,Widget B,29.5,2,0.0,59.0
O100161,03/05/2024,C0226,c0226@example.com,West,Online,SKU-002,Widget B,29.5,1,0.1,26.55
O100162,2024-12-23,C0336,c0336@example.com,SOUTH,Partner,SKU-002,Widget B,29.5,-4,0.05,-112.1
O100163,07/08/2024,C0078,c0078@example.com,,,SKU-004,Gadget Y,79.99,5,0.2,319.96
O100164,2024-06-18,C0260,c0260@example.com,East,Retail,SKU-002,Widget B,29.5,5,0.0,147.5
O100165,01/06/2025,C0082,c0082@example.com,West,Online,SKU-001,Widget A,19.99,1,0.2,15.99
O100166,2024-02-16,C0080,c0080@example.com,South,Retail,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100167,2024-03-24,C0130,c0130@example.com,East,Partner,SKU-004,Gadget Y,79.99,5,0.2,319.96
O100168,01/26/2025,C0116,c0116@example.com,South,Online,SKU-002,Widget B,29.5,4,0.1,106.2
O100169,27-Mar-2024,C0042,c0042@example.com,West,Partner,SKU-002,Widget B,29.5,3,0.2,70.8
O100170,21-Jun-2024,C0321,c0321@example.com,,Online,SKU-003,Gadget X,49.0,1,0.0,49.0
O100171,04/26/2024,C0222,c0222@example.com,East,,SKU-003,Gadget X,49.0,1,0.2,39.2
O100172,03/07/2024,C0345,c0345@example.com,West,,SKU-005,Thingamajig,12.49,4,0.0,49.96
O100173,2024-03-13,C0267,c0267@example.com,East,Online,SKU-005,Thingamajig,12.49,2,0.0,24.98
O100174,2024-08-19,C0374,c0374@example.com,East,Retail,SKU-001,Widget A,19.99,5,0.2,
O100175,03/22/2024,C0003,c0003@example.com,East,Online,SKU-005,Thingamajig,12.49,2,0.1,22.48
O100176,2024-08-14,C0174,c0174@example.com,north ,online,SKU-001,Widget A,19.99,1,0.2,15.99
O100177,06-Dec-2024,C0238,c0238@example.com,SOUTH,Partner,SKU-003,Gadget X,49.0,3,0.1,132.3
O100178,08/13/2024,C0364,c0364@example.com,north ,retail,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100179,28-Jan-2024,C0122,c0122@example.com,West,retail,SKU-001,Widget A,19.99,2,0.0,39.98
O100180,03-Oct-2024,C0046,c0046@example.com,East,Online,SKU-002,Widget B,29.5,2,0.0,59.0
O100181,06/27/2024,C0076,c0076@example.com,North,retail,SKU-004,Gadget Y,79.99,3,0.0,239.97
O100182,2024-11-19,C0233,c0233@example.com,SOUTH,,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100183,03/22/2024,C0397,c0397@example.com,East,online,SKU-002,Widget B,29.5,2,0.05,56.05
O100184,27-Dec-2024,C0304,c0304@example.com,SOUTH,Partner,SKU-001,Widget A,19.99,3,0.05,56.97
O100185,28-Jan-2024,C0227,c0227@example.com,East,,SKU-005,Thingamajig,12.49,4,0.2,39.97
O100186,2024-05-04,C0079,c0079@example.com,SOUTH,Partner,SKU-001,Widget A,19.99,2,0.0,39.98
O100187,09/04/2024,C0377,c0377@example.com,East,,SKU-005,Thingamajig,12.49,5,0.2,49.96
O100188,25-Dec-2024,C0305,c0305@example.com,East,online,SKU-004,Gadget Y,79.99,3,0.2,191.98
O100189,10/16/2024,C0312,c0312@example.com,north ,Retail,SKU-003,Gadget X,49.0,2,0.0,98.0
O100190,04-Mar-2024,C0327,c0327@example.com,West,,SKU-002,Widget B,29.5,1,0.0,29.5
O100191,22-May-2024,C0026,c0026@example.com,SOUTH,,SKU-004,Gadget Y,79.99,4,0.0,319.96
O100192,07-Sep-2024,C0345,c0345@example.com,north ,retail,SKU-002,Widget B,29.5,4,0.05,112.1
O100193,06/11/2024,C0378,c0378@example.com,West,retail,SKU-003,Gadget X,49.0,5,0.05,232.75
O100194,08-May-2024,C0065,c0065@example.com,East,Partner,SKU-001,Widget A,19.99,2,0.05,37.98
O100195,11/24/2024,C0199,c0199@example.com,West,retail,SKU-002,Widget B,29.5,4,0.0,118.0
O100196,07/13/2024,C0389,c0389@example.com,SOUTH,Partner,SKU-005,Thingamajig,12.49,2,0.0,24.98
O100197,01/07/2024,C0358,c0358@example.com,West,online,SKU-004,Gadget Y,79.99,5,0.0,399.95
O100198,11/08/2024,C0078,c0078@example.com,north ,online,SKU-002,Widget B,29.5,2,0.1,53.1
O100199,10/08/2024,C0170,c0170@example.com,SOUTH,Online,SKU-002,Widget B,29.5,6,0.2,141.6
O100200,2024-03-27,C0155,c0155@example.com,north ,,SKU-003,Gadget X,49.0,3,0.05,139.65
O100201,09-Feb-2024,C0062,c0062@example.com,East,Online,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100202,2024-10-31,C0300,c0300@example.com,SOUTH,Partner,SKU-002,Widget B,29.5,3,0.1,79.65
O100203,09-Oct-2024,C0282,c0282@example.com,,Retail,SKU-002,Widget B,29.5,3,0.0,88.5
O100204,22-Nov-2024,C0111,c0111@example.com,North,Online,SKU-002,Widget B,29.5,1,0.0,29.5
O100205,2024-12-29,C0126,c0126@example.com,West,retail,SKU-002,Widget B,29.5,3,0.0,88.5
O100206,27-May-2024,C0024,c0024@example.com,West,online,SKU-001,Widget A,19.99,3,0.2,47.98
O100207,25-Jun-2024,C0363,c0363@example.com,South,,SKU-005,Thingamajig,12.49,2,0.2,19.98
O100208,07/09/2024,C0181,c0181@example.com,West,online,SKU-004,Gadget Y,79.99,5,0.05,379.95
O100209,28-Jan-2024,C0397,c0397@example.com,South,,SKU-002,Widget B,29.5,1,0.05,28.02
O100210,17-Apr-2024,C0173,c0173@example.com,,Online,SKU-001,Widget A,19.99,2,0.1,35.98
O100211,08-Sep-2024,C0161,c0161@example.com,South,Retail,SKU-004,Gadget Y,79.99,4,0.0,319.96
O100212,20-Nov-2024,C0307,c0307@example.com,West,Online,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100213,2024-08-12,C0172,c0172@example.com,South,Online,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100214,2024-05-31,C0270,c0270@example.com,South,online,SKU-004,Gadget Y,79.99,3,0.05,227.97
O100215,18-Oct-2024,C0036,c0036@example.com,north ,retail,SKU-005,Thingamajig,12.49,1,0.0,12.49
O100216,03/19/2024,C0296,c0296@example.com,,online,SKU-003,Gadget X,49.0,1,0.0,49.0
O100217,2024-04-07,C0099,c0099@example.com,,,SKU-005,Thingamajig,12.49,1,0.2,9.99
O100218,03/21/2024,C0095,c0095@example.com,West,retail,SKU-005,Thingamajig,12.49,2,0.0,24.98
O100219,2024-02-17,C0054,c0054@example.com,South,,SKU-004,Gadget Y,79.99,2,0.0,159.98
O100220,2024-06-08,C0314,c0314@example.com,West,Partner,SKU-004,Gadget Y,79.99,4,0.05,303.96
O100221,01/29/2024,C0021,c0021@example.com,,,SKU-002,Widget B,29.5,5,0.05,140.12
O100222,21-Feb-2024,C0043,c0043@example.com,,retail,SKU-003,Gadget X,49.0,1,0.05,46.55
O100223,03/05/2024,C0115,c0115@example.com,SOUTH,Retail,SKU-004,Gadget Y,79.99,3,0.1,215.97
O100224,21-Aug-2024,C0384,c0384@example.com,West,Online,SKU-003,Gadget X,49.0,1,0.05,46.55
O100225,05/14/2024,C0384,c0384@example.com,South,Partner,SKU-003,Gadget X,49.0,4,0.2,156.8
O100226,12-Sep-2024,C0089,c0089@example.com,East,retail,SKU-003,Gadget X,49.0,3,0.0,147.0
O100227,09/01/2024,C0353,c0353@example.com,South,Retail,SKU-001,Widget A,19.99,3,0.0,59.97
O100228,2024-09-20,C0182,c0182@example.com,West,,SKU-002,Widget B,29.5,2,0.0,59.0
O100229,23-Nov-2024,C0013,c0013@example.com,SOUTH,Retail,SKU-002,Widget B,29.5,1,0.0,29.5
O100230,13-Apr-2024,C0294,c0294@example.com,West,online,SKU-001,Widget A,19.99,4,0.05,75.96
O100231,06/12/2024,C0383,c0383@example.com,north ,online,SKU-003,Gadget X,49.0,3,0.2,117.6
O100232,07/09/2024,C0124,c0124@example.com,North,Retail,SKU-004,Gadget Y,79.99,3,0.0,239.97
O100233,2024-04-15,C0361,c0361@example.com,West,retail,SKU-004,Gadget Y,79.99,1,0.0,79.99
O100234,2024-02-06,C0025,c0025@example.com,,retail,SKU-001,Widget A,19.99,1,0.0,19.99
O100235,01/15/2024,C0352,c0352@example.com,West,Online,SKU-004,Gadget Y,79.99,3,0.2,191.98
O100236,2024-05-18,C0168,c0168@example.com,East,online,SKU-003,Gadget X,49.0,2,0.1,88.2
O100237,01/16/2025,C0342,c0342@example.com,north ,,SKU-004,Gadget Y,79.99,2,0.1,143.98
O100238,2024-10-02,C0393,c0393@example.com,,retail,SKU-005,Thingamajig,12.49,3,0.0,37.47
O100239,2025-01-04,C0277,c0277@example.com,West,Retail,SKU-002,Widget B,29.5,4,0.05,112.1
O100240,2024-06-12,C0132,c0132@example.com,West,online,SKU-003,Gadget X,49.0,1,0.0,49.0
O100241,03-Feb-2024,C0371,c0371@example.com,West,Partner,SKU-001,Widget A,19.99,2,0.0,39.98
O100242,01/29/2024,C0206,c0206@example.com,SOUTH,Retail,SKU-004,Gadget Y,79.99,3,0.0,239.97
O100243,2024-06-19,C0038,,South,retail,SKU-004,Gadget Y,79.99,5,0.2,319.96
O100244,2024-01-13,C0043,c0043@example.com,North,online,SKU-005,Thingamajig,12.49,3,0.1,33.72
O100245,2024-04-25,C0093,c0093@example.com,north ,,SKU-005,Thingamajig,12.49,2,0.2,19.98
O100246,2025-02-03,C0140,c0140@example.com,North,,SKU-001,Widget A,19.99,2,0.0,39.98
O100247,16-May-2024,C0344,c0344@example.com,South,online,SKU-004,Gadget Y,79.99,2,0.0,159.98
O100248,01-May-2024,C0180,c0180@example.com,North,Partner,SKU-002,Widget B,29.5,5,0.0,147.5
O100249,2024-02-02,C0202,c0202@example.com,East,Retail,SKU-004,Gadget Y,79.99,4,0.2,255.97
O100250,2024-05-12,C0213,c0213@example.com,East,Partner,SKU-004,Gadget Y,79.99,2,0.0,159.98
O100251,2025-01-25,C0071,c0071@example.com,East,online,SKU-004,Gadget Y,79.99,1,0.2,
O100252,20-Aug-2024,C0041,c0041@example.com,,Online,SKU-003,Gadget X,49.0,2,0.2,
O100253,2024-09-07,C0005,c0005@example.com,North,,SKU-004,Gadget Y,79.99,4,0.0,319.96
