order_id,order_date,customer_id,customer_email,region,channel,sku,product_name,unit_price,quantity,discount,revenue,email_missing,order_year,order_month,order_dow,gross_revenue,discount_amt,customer_lifetime_revenue
O100035,2024-07-01,C0009,c0009@example.com,West,Partner,SKU-003,Gadget X,49.0,4,0.0,196.0,False,2024,2024-07,Monday,196.0,0.0,683.54
O100036,2024-09-29,C0393,c0393@example.com,South,Retail,SKU-001,Widget A,19.99,3,0.05,56.97,False,2024,2024-09,Sunday,59.97,3.0,257.06
O100039,2024-08-19,C0257,c0257@example.com,South,Partner,SKU-004,Gadget Y,79.99,4,0.2,255.97,False,2024,2024-08,Monday,319.96,63.99,381.96
O100041,2024-05-15,C0147,c0147@example.com,North,Partner,SKU-005,Thingamajig,12.49,2,0.05,23.73,False,2024,2024-05,Wednesday,24.98,1.25,169.01
O100042,2025-01-14,C0308,c0308@example.com,West,Retail,SKU-005,Thingamajig,12.49,2,0.1,22.48,False,2025,2025-01,Tuesday,24.98,2.5,262.45
O100043,2024-11-02,C0115,c0115@example.com,East,Retail,SKU-004,Gadget Y,79.99,6,0.0,479.94,False,2024,2024-11,Saturday,479.94,0.0,922.34
O100044,2024-02-22,C0249,c0249@example.com,North,Online,SKU-002,Widget B,29.5,1,0.2,23.6,False,2024,2024-02,Thursday,29.5,5.9,236.74
O100048,2024-09-20,C0084,c0084@example.com,North,Online,SKU-004,Gadget Y,79.99,4,0.0,319.96,False,2024,2024-09,Friday,319.96,0.0,702.94
O100049,2024-07-31,C0063,c0063@example.com,West,Retail,SKU-004,Gadget Y,79.99,3,0.1,215.97,False,2024,2024-07,Wednesday,239.97,24.0,622.42
O100050,2024-10-18,C0144,c0144@example.com,North,Partner,SKU-004,Gadget Y,79.99,4,0.0,319.96,False,2024,2024-10,Friday,319.96,0.0,746.87
O100052,2024-01-05,C0173,c0173@example.com,South,Retail,SKU-001,Widget A,19.99,1,0.05,18.99,False,2024,2024-01,Friday,19.99,1.0,304.89
O100054,2025-02-03,C0249,c0249@example.com,North,Partner,SKU-003,Gadget X,49.0,2,0.05,93.1,False,2025,2025-02,Monday,98.0,4.9,236.74
O100055,2024-11-19,C0364,c0364@example.com,South,Online,SKU-004,Gadget Y,79.99,4,0.0,319.96,False,2024,2024-11,Tuesday,319.96,0.0,517.6
O100057,2024-11-23,C0017,c0017@example.com,North,Retail,SKU-003,Gadget X,49.0,4,0.2,156.8,False,2024,2024-11,Saturday,196.0,39.2,156.8
O100060,2025-01-27,C0102,c0102@example.com,North,Retail,SKU-005,Thingamajig,12.49,4,0.0,49.96,False,2025,2025-01,Monday,49.96,0.0,-110.02
O100061,2024-08-03,C0260,c0260@example.com,East,Retail,SKU-002,Widget B,29.5,3,0.05,84.08,False,2024,2024-08,Saturday,88.5,4.42,389.55
O100063,2024-03-02,C0087,c0087@example.com,North,Partner,SKU-001,Widget A,19.99,1,0.0,19.99,False,2024,2024-03,Saturday,19.99,0.0,35.98
O100064,2024-07-08,C0140,c0140@example.com,North,Online,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-07,Monday,79.99,0.0,734.02
O100066,2024-12-20,C0293,c0293@example.com,North,Retail,SKU-002,Widget B,29.5,8,0.05,224.2,False,2024,2024-12,Friday,236.0,11.8,304.16
O100067,2024-01-23,C0336,c0336@example.com,North,Online,SKU-005,Thingamajig,12.49,3,0.05,35.6,False,2024,2024-01,Tuesday,37.47,1.87,-76.5
O100070,2024-10-09,C0134,c0134@example.com,South,Online,SKU-002,Widget B,29.5,3,0.0,88.5,False,2024,2024-10,Wednesday,88.5,0.0,529.28
O100071,2025-01-03,C0222,c0222@example.com,South,Partner,SKU-005,Thingamajig,12.49,3,0.0,37.47,False,2025,2025-01,Friday,37.47,0.0,589.92
O100073,2024-09-09,C0117,c0117@example.com,South,Retail,SKU-004,Gadget Y,79.99,2,0.0,159.98,False,2024,2024-09,Monday,159.98,0.0,368.15
O100074,2024-04-07,C0222,c0222@example.com,South,Partner,SKU-002,Widget B,29.5,5,0.0,147.5,False,2024,2024-04,Sunday,147.5,0.0,589.92
O100076,2024-12-29,C0154,c0154@example.com,West,Retail,SKU-003,Gadget X,49.0,3,0.0,147.0,False,2024,2024-12,Sunday,147.0,0.0,462.83
O100077,2024-09-08,C0071,c0071@example.com,North,Retail,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-09,Sunday,79.99,0.0,192.98
O100078,2024-06-28,C0227,c0227@example.com,North,Partner,SKU-002,Widget B,29.5,4,0.1,106.2,False,2024,2024-06,Friday,118.0,11.8,516.94
O100079,2024-12-17,C0304,c0304@example.com,North,Retail,SKU-001,Widget A,19.99,1,0.0,19.99,False,2024,2024-12,Tuesday,19.99,0.0,376.9
O100080,2024-12-12,C0323,c0323@example.com,North,Retail,SKU-002,Widget B,29.5,1,0.0,29.5,False,2024,2024-12,Thursday,29.5,0.0,282.58
O100082,2024-07-14,C0130,c0130@example.com,South,Online,SKU-001,Widget A,19.99,1,0.2,15.99,False,2024,2024-07,Sunday,19.99,4.0,615.12
O100084,2024-09-27,C0004,c0004@example.com,North,Retail,SKU-001,Widget A,19.99,1,0.2,15.99,False,2024,2024-09,Friday,19.99,4.0,172.79
O100085,2024-04-03,C0002,c0002@example.com,South,Online,SKU-003,Gadget X,49.0,4,0.2,156.8,False,2024,2024-04,Wednesday,196.0,39.2,552.75
O100086,2024-12-24,C0166,c0166@example.com,North,Retail,SKU-002,Widget B,29.5,1,0.1,26.55,False,2024,2024-12,Tuesday,29.5,2.95,26.55
O100087,2024-02-15,C0354,c0354@example.com,North,Online,SKU-005,Thingamajig,12.49,8,0.2,79.94,False,2024,2024-02,Thursday,99.92,19.98,192.04
O100089,2024-01-25,C0366,c0366@example.com,South,Online,SKU-004,Gadget Y,79.99,4,0.0,319.96,False,2024,2024-01,Thursday,319.96,0.0,951.85
O100090,2024-03-21,C0385,c0385@example.com,South,Online,SKU-001,Widget A,19.99,2,0.0,39.98,False,2024,2024-03,Thursday,39.98,0.0,503.1
O100091,2025-01-27,C0358,c0358@example.com,West,Online,SKU-003,Gadget X,49.0,2,0.05,93.1,False,2025,2025-01,Monday,98.0,4.9,836.05
O100094,2024-09-26,C0107,c0107@example.com,North,Online,SKU-001,Widget A,19.99,4,0.05,75.96,False,2024,2024-09,Thursday,79.96,4.0,425.16
O100096,2024-04-08,C0106,c0106@example.com,South,Retail,SKU-002,Widget B,29.5,1,0.0,29.5,False,2024,2024-04,Monday,29.5,0.0,685.05
O100097,2024-12-25,C0083,c0083@example.com,West,Retail,SKU-005,Thingamajig,12.49,2,0.05,23.73,False,2024,2024-12,Wednesday,24.98,1.25,219.73
O100098,2024-02-14,C0045,c0045@example.com,South,Partner,SKU-004,Gadget Y,136.03,2,0.0,15998.0,False,2024,2024-02,Wednesday,272.06,-15725.94,16236.38
O100099,2024-07-30,C0129,c0129@example.com,South,Online,SKU-004,Gadget Y,79.99,1,0.05,75.99,False,2024,2024-07,Tuesday,79.99,4.0,362.76
O100104,2024-11-21,C0046,c0046@example.com,West,Online,SKU-002,Widget B,29.5,7,0.1,185.85,False,2024,2024-11,Thursday,206.5,20.65,745.44
O100105,2024-10-21,C0008,c0008@example.com,South,Online,SKU-004,Gadget Y,79.99,4,0.05,303.96,False,2024,2024-10,Monday,319.96,16.0,501.84
O100106,2024-05-06,C0095,c0095@example.com,South,Online,SKU-001,Widget A,19.99,1,0.1,17.99,False,2024,2024-05,Monday,19.99,2.0,148.51
O100107,2024-04-15,C0007,c0007@example.com,West,Partner,SKU-001,Widget A,19.99,1,0.0,19.99,False,2024,2024-04,Monday,19.99,0.0,565.59
O100108,2024-12-18,C0073,c0073@example.com,East,Online,SKU-004,Gadget Y,79.99,4,0.0,319.96,False,2024,2024-12,Wednesday,319.96,0.0,393.94
O100110,2024-08-09,C0213,c0213@example.com,South,Retail,SKU-004,Gadget Y,79.99,5,0.0,399.95,False,2024,2024-08,Friday,399.95,0.0,625.51
O100111,2025-01-12,C0318,c0318@example.com,South,Online,SKU-003,Gadget X,49.0,2,0.1,88.2,False,2025,2025-01,Sunday,98.0,9.8,401.16
O100112,2024-06-07,C0144,c0144@example.com,South,Retail,SKU-005,Thingamajig,12.49,1,0.05,11.87,False,2024,2024-06,Friday,12.49,0.62,746.87
O100113,2024-05-17,C0293,c0293@example.com,South,Partner,SKU-001,Widget A,19.99,5,0.2,79.96,False,2024,2024-05,Friday,99.95,19.99,304.16
O100114,2024-10-19,C0178,c0178@example.com,North,Retail,SKU-001,Widget A,19.99,3,0.05,56.97,False,2024,2024-10,Saturday,59.97,3.0,524.55
O100115,2024-06-21,C0010,c0010@example.com,North,Retail,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-06,Friday,79.99,0.0,337.7
O100116,2024-06-06,C0228,c0228@example.com,North,Retail,SKU-002,Widget B,29.5,3,0.05,84.08,False,2024,2024-06,Thursday,88.5,4.42,184.03
O100118,2025-01-16,C0189,c0189@example.com,North,Online,SKU-001,Widget A,19.99,3,0.0,59.97,False,2025,2025-01,Thursday,59.97,0.0,492.61
O100119,2024-01-23,C0104,unknown@unknown,West,Online,SKU-002,Widget B,29.5,1,0.1,26.55,True,2024,2024-01,Tuesday,29.5,2.95,139.01
O100120,2024-07-17,C0055,c0055@example.com,South,Retail,SKU-005,Thingamajig,12.49,1,0.1,11.24,False,2024,2024-07,Wednesday,12.49,1.25,56.73
O100121,2024-05-21,C0029,c0029@example.com,North,Retail,SKU-005,Thingamajig,12.49,2,0.0,24.98,False,2024,2024-05,Tuesday,24.98,0.0,270.81
O100123,2024-10-22,C0149,c0149@example.com,North,Retail,SKU-005,Thingamajig,12.49,2,0.0,24.98,False,2024,2024-10,Tuesday,24.98,0.0,24.98
O100124,2025-01-11,C0290,c0290@example.com,East,Retail,SKU-003,Gadget X,49.0,3,0.05,139.65,False,2025,2025-01,Saturday,147.0,7.35,299.6
O100125,2024-03-15,C0284,c0284@example.com,South,Partner,SKU-003,Gadget X,49.0,1,0.0,49.0,False,2024,2024-03,Friday,49.0,0.0,364.18
O100127,2024-11-26,C0053,c0053@example.com,West,Partner,SKU-003,Gadget X,49.0,2,0.2,78.4,False,2024,2024-11,Tuesday,98.0,19.6,505.37
O100128,2024-03-06,C0066,unknown@unknown,North,Online,SKU-001,Widget A,19.99,3,0.0,59.97,True,2024,2024-03,Wednesday,59.97,0.0,59.97
O100129,2024-01-29,C0160,c0160@example.com,North,Online,SKU-005,Thingamajig,12.49,4,0.0,49.96,False,2024,2024-01,Monday,49.96,0.0,269.27
O100130,2024-10-23,C0331,c0331@example.com,North,Retail,SKU-001,Widget A,19.99,3,0.1,53.97,False,2024,2024-10,Wednesday,59.97,6.0,179.92
O100131,2024-01-22,C0317,c0317@example.com,East,Retail,SKU-005,Thingamajig,12.49,1,0.2,9.99,False,2024,2024-01,Monday,12.49,2.5,154.54
O100132,2024-01-01,C0351,c0351@example.com,North,Retail,SKU-003,Gadget X,49.0,3,0.1,132.3,False,2024,2024-01,Monday,147.0,14.7,404.72
O100133,2024-03-02,C0128,c0128@example.com,East,Retail,SKU-003,Gadget X,49.0,3,0.0,147.0,False,2024,2024-03,Saturday,147.0,0.0,440.38
O100138,2024-09-19,C0355,c0355@example.com,South,Partner,SKU-001,Widget A,19.99,3,0.0,59.97,False,2024,2024-09,Thursday,59.97,0.0,477.9
O100140,2024-03-22,C0307,c0307@example.com,South,Partner,SKU-005,Thingamajig,12.49,4,0.1,44.96,False,2024,2024-03,Friday,49.96,5.0,435.45
O100141,2024-07-26,C0274,unknown@unknown,North,Retail,SKU-003,Gadget X,49.0,3,0.2,117.6,True,2024,2024-07,Friday,147.0,29.4,137.59
O100143,2024-06-10,C0369,c0369@example.com,North,Online,SKU-003,Gadget X,49.0,4,0.0,196.0,False,2024,2024-06,Monday,196.0,0.0,250.48
O100145,2024-04-24,C0326,c0326@example.com,South,Online,SKU-001,Widget A,19.99,3,0.0,59.97,False,2024,2024-04,Wednesday,59.97,0.0,190.9
O100146,2024-11-15,C0280,c0280@example.com,North,Online,SKU-003,Gadget X,49.0,1,0.0,-49.0,False,2024,2024-11,Friday,49.0,98.0,57.03
O100150,2024-02-08,C0128,c0128@example.com,North,Online,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-02,Thursday,79.99,0.0,440.38
O100152,2024-11-16,C0107,c0107@example.com,North,Online,SKU-002,Widget B,29.5,5,0.1,132.75,False,2024,2024-11,Saturday,147.5,14.75,425.16
O100153,2024-07-23,C0001,c0001@example.com,North,Retail,SKU-003,Gadget X,49.0,5,0.0,245.0,False,2024,2024-07,Tuesday,245.0,0.0,285.1
O100154,2024-11-25,C0026,c0026@example.com,West,Retail,SKU-002,Widget B,29.5,2,0.1,53.1,False,2024,2024-11,Monday,59.0,5.9,268.7
O100155,2024-08-06,C0103,c0103@example.com,East,Partner,SKU-001,Widget A,19.99,2,0.2,31.98,False,2024,2024-08,Tuesday,39.98,8.0,334.37
O100156,2024-05-27,C0259,c0259@example.com,East,Retail,SKU-001,Widget A,19.99,2,0.0,39.98,False,2024,2024-05,Monday,39.98,0.0,64.96
O100157,2024-01-25,C0396,c0396@example.com,South,Online,SKU-002,Widget B,29.5,3,0.1,79.65,False,2024,2024-01,Thursday,88.5,8.85,498.04
O100160,2024-07-13,C0104,c0104@example.com,South,Retail,SKU-002,Widget B,29.5,2,0.0,59.0,False,2024,2024-07,Saturday,59.0,0.0,139.01
O100161,2024-03-05,C0226,c0226@example.com,West,Online,SKU-002,Widget B,29.5,1,0.1,26.55,False,2024,2024-03,Tuesday,29.5,2.95,120.61
O100162,2024-12-23,C0336,c0336@example.com,South,Partner,SKU-002,Widget B,29.5,4,0.05,-112.1,False,2024,2024-12,Monday,118.0,230.1,-76.5
O100164,2024-06-18,C0260,c0260@example.com,East,Retail,SKU-002,Widget B,29.5,5,0.0,147.5,False,2024,2024-06,Tuesday,147.5,0.0,389.55
O100165,2025-01-06,C0082,c0082@example.com,West,Online,SKU-001,Widget A,19.99,1,0.2,15.99,False,2025,2025-01,Monday,19.99,4.0,104.49
O100166,2024-02-16,C0080,c0080@example.com,South,Retail,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-02,Friday,79.99,0.0,666.5
O100167,2024-03-24,C0130,c0130@example.com,East,Partner,SKU-004,Gadget Y,79.99,5,0.2,319.96,False,2024,2024-03,Sunday,399.95,79.99,615.12
O100168,2025-01-26,C0116,c0116@example.com,South,Online,SKU-002,Widget B,29.5,4,0.1,106.2,False,2025,2025-01,Sunday,118.0,11.8,212.4
O100169,2024-03-27,C0042,c0042@example.com,West,Partner,SKU-002,Widget B,29.5,3,0.2,70.8,False,2024,2024-03,Wednesday,88.5,17.7,599.08
O100173,2024-03-13,C0267,c0267@example.com,East,Online,SKU-005,Thingamajig,12.49,2,0.0,24.98,False,2024,2024-03,Wednesday,24.98,0.0,64.18
O100174,2024-08-19,C0374,c0374@example.com,East,Retail,SKU-001,Widget A,19.99,5,0.2,79.96,False,2024,2024-08,Monday,99.95,19.99,348.91
O100175,2024-03-22,C0003,c0003@example.com,East,Online,SKU-005,Thingamajig,12.49,2,0.1,22.48,False,2024,2024-03,Friday,24.98,2.5,420.45
O100176,2024-08-14,C0174,c0174@example.com,North,Online,SKU-001,Widget A,19.99,1,0.2,15.99,False,2024,2024-08,Wednesday,19.99,4.0,15046.59
O100177,2024-12-06,C0238,c0238@example.com,South,Partner,SKU-003,Gadget X,49.0,3,0.1,132.3,False,2024,2024-12,Friday,147.0,14.7,250.21
O100178,2024-08-13,C0364,c0364@example.com,North,Retail,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-08,Tuesday,79.99,0.0,517.6
O100179,2024-01-28,C0122,c0122@example.com,West,Retail,SKU-001,Widget A,19.99,2,0.0,39.98,False,2024,2024-01,Sunday,39.98,0.0,344.28
O100180,2024-10-03,C0046,c0046@example.com,East,Online,SKU-002,Widget B,29.5,2,0.0,59.0,False,2024,2024-10,Thursday,59.0,0.0,745.44
O100181,2024-06-27,C0076,c0076@example.com,North,Retail,SKU-004,Gadget Y,79.99,3,0.0,239.97,False,2024,2024-06,Thursday,239.97,0.0,1066.48
O100183,2024-03-22,C0397,c0397@example.com,East,Online,SKU-002,Widget B,29.5,2,0.05,56.05,False,2024,2024-03,Friday,59.0,2.95,481.99
O100184,2024-12-27,C0304,c0304@example.com,South,Partner,SKU-001,Widget A,19.99,3,0.05,56.97,False,2024,2024-12,Friday,59.97,3.0,376.9
O100186,2024-05-04,C0079,c0079@example.com,South,Partner,SKU-001,Widget A,19.99,2,0.0,39.98,False,2024,2024-05,Saturday,39.98,0.0,1010.69
O100188,2024-12-25,C0305,c0305@example.com,East,Online,SKU-004,Gadget Y,79.99,3,0.2,191.98,False,2024,2024-12,Wednesday,239.97,47.99,474.92
O100189,2024-10-16,C0312,c0312@example.com,North,Retail,SKU-003,Gadget X,49.0,2,0.0,98.0,False,2024,2024-10,Wednesday,98.0,0.0,641.01
O100192,2024-09-07,C0345,c0345@example.com,North,Retail,SKU-002,Widget B,29.5,4,0.05,112.1,False,2024,2024-09,Saturday,118.0,5.9,981.56
O100193,2024-06-11,C0378,c0378@example.com,West,Retail,SKU-003,Gadget X,49.0,5,0.05,232.75,False,2024,2024-06,Tuesday,245.0,12.25,383.37
O100194,2024-05-08,C0065,c0065@example.com,East,Partner,SKU-001,Widget A,19.99,2,0.05,37.98,False,2024,2024-05,Wednesday,39.98,2.0,-2.28
O100195,2024-11-24,C0199,c0199@example.com,West,Retail,SKU-002,Widget B,29.5,4,0.0,118.0,False,2024,2024-11,Sunday,118.0,0.0,118.0
O100196,2024-07-13,C0389,c0389@example.com,South,Partner,SKU-005,Thingamajig,12.49,2,0.0,24.98,False,2024,2024-07,Saturday,24.98,0.0,9651.48
O100197,2024-01-07,C0358,c0358@example.com,West,Online,SKU-004,Gadget Y,79.99,5,0.0,399.95,False,2024,2024-01,Sunday,399.95,0.0,836.05
O100198,2024-11-08,C0078,c0078@example.com,North,Online,SKU-002,Widget B,29.5,2,0.1,53.1,False,2024,2024-11,Friday,59.0,5.9,853.59
O100199,2024-10-08,C0170,c0170@example.com,South,Online,SKU-002,Widget B,29.5,6,0.2,141.6,False,2024,2024-10,Tuesday,177.0,35.4,125.61
O100201,2024-02-09,C0062,c0062@example.com,East,Online,SKU-005,Thingamajig,12.49,1,0.0,12.49,False,2024,2024-02,Friday,12.49,0.0,345.57
O100202,2024-10-31,C0300,c0300@example.com,South,Partner,SKU-002,Widget B,29.5,3,0.1,79.65,False,2024,2024-10,Thursday,88.5,8.85,654.65
O100204,2024-11-22,C0111,c0111@example.com,North,Online,SKU-002,Widget B,29.5,1,0.0,29.5,False,2024,2024-11,Friday,29.5,0.0,583.6
O100205,2024-12-29,C0126,c0126@example.com,West,Retail,SKU-002,Widget B,29.5,3,0.0,88.5,False,2024,2024-12,Sunday,88.5,0.0,488.96
O100206,2024-05-27,C0024,c0024@example.com,West,Online,SKU-001,Widget A,19.99,3,0.2,47.98,False,2024,2024-05,Monday,59.97,11.99,384.03
O100208,2024-07-09,C0181,c0181@example.com,West,Online,SKU-004,Gadget Y,79.99,5,0.05,379.95,False,2024,2024-07,Tuesday,399.95,20.0,752.41
O100211,2024-09-08,C0161,c0161@example.com,South,Retail,SKU-004,Gadget Y,79.99,4,0.0,319.96,False,2024,2024-09,Sunday,319.96,0.0,655.09
O100212,2024-11-20,C0307,c0307@example.com,West,Online,SKU-005,Thingamajig,12.49,1,0.0,12.49,False,2024,2024-11,Wednesday,12.49,0.0,435.45
O100213,2024-08-12,C0172,c0172@example.com,South,Online,SKU-005,Thingamajig,12.49,1,0.0,12.49,False,2024,2024-08,Monday,12.49,0.0,134.45
O100214,2024-05-31,C0270,c0270@example.com,South,Online,SKU-004,Gadget Y,79.99,3,0.05,227.97,False,2024,2024-05,Friday,239.97,12.0,616.92
O100215,2024-10-18,C0036,c0036@example.com,North,Retail,SKU-005,Thingamajig,12.49,1,0.0,12.49,False,2024,2024-10,Friday,12.49,0.0,345.91
O100218,2024-03-21,C0095,c0095@example.com,West,Retail,SKU-005,Thingamajig,12.49,2,0.0,24.98,False,2024,2024-03,Thursday,24.98,0.0,148.51
O100220,2024-06-08,C0314,c0314@example.com,West,Partner,SKU-004,Gadget Y,79.99,4,0.05,303.96,False,2024,2024-06,Saturday,319.96,16.0,841.85
O100223,2024-03-05,C0115,c0115@example.com,South,Retail,SKU-004,Gadget Y,79.99,3,0.1,215.97,False,2024,2024-03,Tuesday,239.97,24.0,922.34
O100224,2024-08-21,C0384,c0384@example.com,West,Online,SKU-003,Gadget X,49.0,1,0.05,46.55,False,2024,2024-08,Wednesday,49.0,2.45,8418.92
O100225,2024-05-14,C0384,c0384@example.com,South,Partner,SKU-003,Gadget X,49.0,4,0.2,156.8,False,2024,2024-05,Tuesday,196.0,39.2,8418.92
O100226,2024-09-12,C0089,c0089@example.com,East,Retail,SKU-003,Gadget X,49.0,3,0.0,147.0,False,2024,2024-09,Thursday,147.0,0.0,462.44
O100227,2024-09-01,C0353,c0353@example.com,South,Retail,SKU-001,Widget A,19.99,3,0.0,59.97,False,2024,2024-09,Sunday,59.97,0.0,225.86
O100229,2024-11-23,C0013,c0013@example.com,South,Retail,SKU-002,Widget B,29.5,1,0.0,29.5,False,2024,2024-11,Saturday,29.5,0.0,78.5
O100230,2024-04-13,C0294,c0294@example.com,West,Online,SKU-001,Widget A,19.99,4,0.05,75.96,False,2024,2024-04,Saturday,79.96,4.0,457.8
O100231,2024-06-12,C0383,c0383@example.com,North,Online,SKU-003,Gadget X,49.0,3,0.2,117.6,False,2024,2024-06,Wednesday,147.0,29.4,340.18
O100232,2024-07-09,C0124,c0124@example.com,North,Retail,SKU-004,Gadget Y,79.99,3,0.0,239.97,False,2024,2024-07,Tuesday,239.97,0.0,315.96
O100233,2024-04-15,C0361,c0361@example.com,West,Retail,SKU-004,Gadget Y,79.99,1,0.0,79.99,False,2024,2024-04,Monday,79.99,0.0,478.27
O100235,2024-01-15,C0352,c0352@example.com,West,Online,SKU-004,Gadget Y,79.99,3,0.2,191.98,False,2024,2024-01,Monday,239.97,47.99,387.55
O100236,2024-05-18,C0168,c0168@example.com,East,Online,SKU-003,Gadget X,49.0,2,0.1,88.2,False,2024,2024-05,Saturday,98.0,9.8,1286.64
O100239,2025-01-04,C0277,c0277@example.com,West,Retail,SKU-002,Widget B,29.5,4,0.05,112.1,False,2025,2025-01,Saturday,118.0,5.9,209.05
O100240,2024-06-12,C0132,c0132@example.com,West,Online,SKU-003,Gadget X,49.0,1,0.0,49.0,False,2024,2024-06,Wednesday,49.0,0.0,93.1
O100241,2024-02-03,C0371,c0371@example.com,West,Partner,SKU-001,Widget A,19.99,2,0.0,39.98,False,2024,2024-02,Saturday,39.98,0.0,172.94
O100242,2024-01-29,C0206,c0206@example.com,South,Retail,SKU-004,Gadget Y,79.99,3,0.0,239.97,False,2024,2024-01,Monday,239.97,0.0,1014.71
O100243,2024-06-19,C0038,unknown@unknown,South,Retail,SKU-004,Gadget Y,79.99,5,0.2,319.96,True,2024,2024-06,Wednesday,399.95,79.99,392.4
O100244,2024-01-13,C0043,c0043@example.com,North,Online,SKU-005,Thingamajig,12.49,3,0.1,33.72,False,2024,2024-01,Saturday,37.47,3.75,960.62
O100247,2024-05-16,C0344,c0344@example.com,South,Online,SKU-004,Gadget Y,79.99,2,0.0,159.98,False,2024,2024-05,Thursday,159.98,0.0,426.5
O100248,2024-05-01,C0180,c0180@example.com,North,Partner,SKU-002,Widget B,29.5,5,0.0,147.5,False,2024,2024-05,Wednesday,147.5,0.0,502.45
O100249,2024-02-02,C0202,c0202@example.com,East,Retail,SKU-004,Gadget Y,79.99,4,0.2,255.97,False,2024,2024-02,Friday,319.96,63.99,370.89
O100250,2024-05-12,C0213,c0213@example.com,East,Partner,SKU-004,Gadget Y,79.99,2,0.0,159.98,False,2024,2024-05,Sunday,159.98,0.0,625.51
O100251,2025-01-25,C0071,c0071@example.com,East,Online,SKU-004,Gadget Y,79.99,1,0.2,63.99,False,2025,2025-01,Saturday,79.99,16.0,192.98
O100254,2024-03-22,C0079,c0079@example.com,North,Partner,SKU-005,Thingamajig,12.49,4,0.2,39.97,False,2024,2024-03,Friday,49.96,9.99,1010.69
